"state","county","year","party","votes"
"Alabama","Autauga",2000,"dem",4942
"Alabama","Baldwin",2000,"dem",13997
"Alabama","Barbour",2000,"dem",5188
"Alabama","Bibb",2000,"dem",2710
"Alabama","Blount",2000,"dem",4977
"Alabama","Bullock",2000,"dem",3395
"Alabama","Butler",2000,"dem",3606
"Alabama","Calhoun",2000,"dem",15781
"Alabama","Chambers",2000,"dem",5616
"Alabama","Cherokee",2000,"dem",3497
"Alabama","Chilton",2000,"dem",4806
"Alabama","Choctaw",2000,"dem",3707
"Alabama","Clarke",2000,"dem",4679
"Alabama","Clay",2000,"dem",2045
"Alabama","Cleburne",2000,"dem",1664
"Alabama","Coffee",2000,"dem",5220
"Alabama","Colbert",2000,"dem",10543
"Alabama","Conecuh",2000,"dem",2783
"Alabama","Coosa",2000,"dem",2104
"Alabama","Covington",2000,"dem",4440
"Alabama","Crenshaw",2000,"dem",1934
"Alabama","Cullman",2000,"dem",9758
"Alabama","Dale",2000,"dem",4906
"Alabama","Dallas",2000,"dem",10967
"Alabama","DeKalb",2000,"dem",7056
"Alabama","Elmore",2000,"dem",6652
"Alabama","Escambia",2000,"dem",4523
"Alabama","Etowah",2000,"dem",17433
"Alabama","Fayette",2000,"dem",3064
"Alabama","Franklin",2000,"dem",4793
"Alabama","Geneva",2000,"dem",2769
"Alabama","Greene",2000,"dem",3504
"Alabama","Hale",2000,"dem",4652
"Alabama","Henry",2000,"dem",2782
"Alabama","Houston",2000,"dem",9412
"Alabama","Jackson",2000,"dem",9066
"Alabama","Jefferson",2000,"dem",129889
"Alabama","Lamar",2000,"dem",2653
"Alabama","Lauderdale",2000,"dem",13875
"Alabama","Lawrence",2000,"dem",6296
"Alabama","Lee",2000,"dem",14574
"Alabama","Limestone",2000,"dem",8992
"Alabama","Lowndes",2000,"dem",4557
"Alabama","Macon",2000,"dem",7665
"Alabama","Madison",2000,"dem",48199
"Alabama","Marengo",2000,"dem",4841
"Alabama","Marion",2000,"dem",4600
"Alabama","Marshall",2000,"dem",10381
"Alabama","Mobile",2000,"dem",58640
"Alabama","Monroe",2000,"dem",3741
"Alabama","Montgomery",2000,"dem",40371
"Alabama","Morgan",2000,"dem",16060
"Alabama","Perry",2000,"dem",4020
"Alabama","Pickens",2000,"dem",4143
"Alabama","Pike",2000,"dem",4357
"Alabama","Randolph",2000,"dem",3094
"Alabama","Russell",2000,"dem",8396
"Alabama","Shelby",2000,"dem",13183
"Alabama","St0 Clair",2000,"dem",6485
"Alabama","Sumter",2000,"dem",4415
"Alabama","Talladega",2000,"dem",11264
"Alabama","Tallapoosa",2000,"dem",6183
"Alabama","Tuscaloosa",2000,"dem",24614
"Alabama","Walker",2000,"dem",11621
"Alabama","Washington",2000,"dem",3386
"Alabama","Wilcox",2000,"dem",3444
"Alabama","Winston",2000,"dem",2692
"Alaska","District 1",2000,"dem",1284
"Alaska","District 10",2000,"dem",2194
"Alaska","District 11",2000,"dem",2043
"Alaska","District 12",2000,"dem",2051
"Alaska","District 13",2000,"dem",2661
"Alaska","District 14",2000,"dem",1626
"Alaska","District 15",2000,"dem",2106
"Alaska","District 16",2000,"dem",1969
"Alaska","District 17",2000,"dem",2230
"Alaska","District 18",2000,"dem",2739
"Alaska","District 19",2000,"dem",2350
"Alaska","District 2",2000,"dem",2081
"Alaska","District 20",2000,"dem",2259
"Alaska","District 21",2000,"dem",2309
"Alaska","District 22",2000,"dem",2656
"Alaska","District 23",2000,"dem",1282
"Alaska","District 24",2000,"dem",1985
"Alaska","District 25",2000,"dem",1697
"Alaska","District 26",2000,"dem",1608
"Alaska","District 27",2000,"dem",2199
"Alaska","District 28",2000,"dem",2116
"Alaska","District 29",2000,"dem",2806
"Alaska","District 3",2000,"dem",3693
"Alaska","District 30",2000,"dem",1698
"Alaska","District 31",2000,"dem",1831
"Alaska","District 32",2000,"dem",1389
"Alaska","District 33",2000,"dem",1765
"Alaska","District 34",2000,"dem",1300
"Alaska","District 35",2000,"dem",1208
"Alaska","District 36",2000,"dem",1945
"Alaska","District 37",2000,"dem",1821
"Alaska","District 38",2000,"dem",2015
"Alaska","District 39",2000,"dem",2282
"Alaska","District 4",2000,"dem",2715
"Alaska","District 5",2000,"dem",1931
"Alaska","District 6",2000,"dem",1542
"Alaska","District 7",2000,"dem",1893
"Alaska","District 8",2000,"dem",1498
"Alaska","District 9",2000,"dem",1203
"Alaska","District 40",2000,"dem",1024
"Arizona","Apache",2000,"dem",13025
"Arizona","Cochise",2000,"dem",13360
"Arizona","Coconino",2000,"dem",20280
"Arizona","Gila",2000,"dem",7700
"Arizona","Graham",2000,"dem",3355
"Arizona","Greenlee",2000,"dem",1216
"Arizona","La Paz",2000,"dem",1769
"Arizona","Maricopa",2000,"dem",386683
"Arizona","Mohave",2000,"dem",17470
"Arizona","Navajo",2000,"dem",11794
"Arizona","Pima",2000,"dem",147688
"Arizona","Pinal",2000,"dem",19650
"Arizona","Santa Cruz",2000,"dem",5233
"Arizona","Yavapai",2000,"dem",24063
"Arizona","Yuma",2000,"dem",12055
"Arkansas","Arkansas",2000,"dem",2877
"Arkansas","Ashley",2000,"dem",4253
"Arkansas","Baxter",2000,"dem",6516
"Arkansas","Benton",2000,"dem",17277
"Arkansas","Boone",2000,"dem",4493
"Arkansas","Bradley",2000,"dem",2122
"Arkansas","Calhoun",2000,"dem",1017
"Arkansas","Carroll",2000,"dem",3595
"Arkansas","Chicot",2000,"dem",2820
"Arkansas","Clark",2000,"dem",4661
"Arkansas","Clay",2000,"dem",3527
"Arkansas","Cleburne",2000,"dem",4120
"Arkansas","Cleveland",2000,"dem",1414
"Arkansas","Columbia",2000,"dem",4003
"Arkansas","Conway",2000,"dem",3496
"Arkansas","Craighead",2000,"dem",12376
"Arkansas","Crawford",2000,"dem",6288
"Arkansas","Crittenden",2000,"dem",7224
"Arkansas","Cross",2000,"dem",3096
"Arkansas","Dallas",2000,"dem",1710
"Arkansas","Desha",2000,"dem",2776
"Arkansas","Drew",2000,"dem",3060
"Arkansas","Faulkner",2000,"dem",11950
"Arkansas","Franklin",2000,"dem",2674
"Arkansas","Fulton",2000,"dem",1976
"Arkansas","Garland",2000,"dem",15840
"Arkansas","Grant",2000,"dem",2535
"Arkansas","Greene",2000,"dem",6319
"Arkansas","Hempstead",2000,"dem",3937
"Arkansas","Hot Spring",2000,"dem",5527
"Arkansas","Howard",2000,"dem",2063
"Arkansas","Independence",2000,"dem",5146
"Arkansas","Izard",2000,"dem",2587
"Arkansas","Jackson",2000,"dem",3651
"Arkansas","Jefferson",2000,"dem",17716
"Arkansas","Johnson",2000,"dem",3270
"Arkansas","Lafayette",2000,"dem",1806
"Arkansas","Lawrence",2000,"dem",3255
"Arkansas","Lee",2000,"dem",2727
"Arkansas","Lincoln",2000,"dem",1957
"Arkansas","Little River",2000,"dem",2883
"Arkansas","Logan",2000,"dem",3283
"Arkansas","Lonoke",2000,"dem",6851
"Arkansas","Madison",2000,"dem",2055
"Arkansas","Marion",2000,"dem",2233
"Arkansas","Miller",2000,"dem",6278
"Arkansas","Mississippi",2000,"dem",7107
"Arkansas","Monroe",2000,"dem",1910
"Arkansas","Montgomery",2000,"dem",1438
"Arkansas","Nevada",2000,"dem",1867
"Arkansas","Newton",2000,"dem",1205
"Arkansas","Ouachita",2000,"dem",5464
"Arkansas","Perry",2000,"dem",1648
"Arkansas","Phillips",2000,"dem",6018
"Arkansas","Pike",2000,"dem",1604
"Arkansas","Poinsett",2000,"dem",4102
"Arkansas","Polk",2000,"dem",2315
"Arkansas","Pope",2000,"dem",6669
"Arkansas","Prairie",2000,"dem",1563
"Arkansas","Pulaski",2000,"dem",68320
"Arkansas","Randolph",2000,"dem",3019
"Arkansas","Saline",2000,"dem",12700
"Arkansas","Scott",2000,"dem",1444
"Arkansas","Searcy",2000,"dem",1229
"Arkansas","Sebastian",2000,"dem",15555
"Arkansas","Sevier",2000,"dem",2095
"Arkansas","Sharp",2000,"dem",3236
"Arkansas","St0 Francis",2000,"dem",4986
"Arkansas","Stone",2000,"dem",2043
"Arkansas","Union",2000,"dem",6261
"Arkansas","Van Buren",2000,"dem",3202
"Arkansas","Washington",2000,"dem",21425
"Arkansas","White",2000,"dem",8342
"Arkansas","Woodruff",2000,"dem",1699
"Arkansas","Yell",2000,"dem",3062
"California","Alameda",2000,"dem",342889
"California","Alpine",2000,"dem",265
"California","Amador",2000,"dem",5906
"California","Butte",2000,"dem",31338
"California","Calaveras",2000,"dem",7093
"California","Colusa",2000,"dem",1745
"California","Contra Costa",2000,"dem",224338
"California","Del Norte",2000,"dem",3117
"California","El Dorado",2000,"dem",26220
"California","Fresno",2000,"dem",95059
"California","Glenn",2000,"dem",2498
"California","Humboldt",2000,"dem",24851
"California","Imperial",2000,"dem",15489
"California","Inyo",2000,"dem",2652
"California","Kern",2000,"dem",66003
"California","Kings",2000,"dem",11041
"California","Lake",2000,"dem",10717
"California","Lassen",2000,"dem",2982
"California","Los Angeles",2000,"dem",1710505
"California","Madera",2000,"dem",11650
"California","Marin",2000,"dem",79135
"California","Mariposa",2000,"dem",2816
"California","Mendocino",2000,"dem",16634
"California","Merced",2000,"dem",22726
"California","Modoc",2000,"dem",945
"California","Mono",2000,"dem",1788
"California","Monterey",2000,"dem",67618
"California","Napa",2000,"dem",28097
"California","Nevada",2000,"dem",17670
"California","Orange",2000,"dem",391819
"California","Placer",2000,"dem",42449
"California","Plumas",2000,"dem",3458
"California","Riverside",2000,"dem",202576
"California","Sacramento",2000,"dem",212792
"California","San Benito",2000,"dem",9131
"California","San Bernardino",2000,"dem",214749
"California","San Diego",2000,"dem",437666
"California","San Francisco",2000,"dem",241578
"California","San Joaquin",2000,"dem",79776
"California","San Mateo",2000,"dem",166757
"California","San Luis Obispo",2000,"dem",44526
"California","Santa Barbara",2000,"dem",73411
"California","Santa Clara",2000,"dem",332490
"California","Santa Cruz",2000,"dem",66618
"California","Shasta",2000,"dem",20127
"California","Sierra",2000,"dem",540
"California","Siskiyou",2000,"dem",6323
"California","Solano",2000,"dem",75116
"California","Sonoma",2000,"dem",117295
"California","Stanislaus",2000,"dem",56448
"California","Sutter",2000,"dem",8416
"California","Tehama",2000,"dem",6507
"California","Trinity",2000,"dem",1932
"California","Tulare",2000,"dem",33006
"California","Tuolumne",2000,"dem",9359
"California","Ventura",2000,"dem",133258
"California","Yolo",2000,"dem",33747
"California","Yuba",2000,"dem",5546
"Colorado","Adams",2000,"dem",54132
"Colorado","Alamosa",2000,"dem",2455
"Colorado","Arapahoe",2000,"dem",82614
"Colorado","Archuleta",2000,"dem",1432
"Colorado","Baca",2000,"dem",531
"Colorado","Bent",2000,"dem",783
"Colorado","Boulder",2000,"dem",69983
"Colorado","Chaffee",2000,"dem",2768
"Colorado","Cheyenne",2000,"dem",209
"Colorado","Clear Creek",2000,"dem",2188
"Colorado","Conejos",2000,"dem",1749
"Colorado","Costilla",2000,"dem",1054
"Colorado","Crowley",2000,"dem",511
"Colorado","Custer",2000,"dem",507
"Colorado","Delta",2000,"dem",3264
"Colorado","Denver",2000,"dem",122693
"Colorado","Dolores",2000,"dem",293
"Colorado","Douglas",2000,"dem",27076
"Colorado","Eagle",2000,"dem",6772
"Colorado","El Paso",2000,"dem",61799
"Colorado","Elbert",2000,"dem",2326
"Colorado","Fremont",2000,"dem",5293
"Colorado","Garfield",2000,"dem",6087
"Colorado","Gilpin",2000,"dem",1099
"Colorado","Grand",2000,"dem",2308
"Colorado","Gunnison",2000,"dem",3059
"Colorado","Hinsdale",2000,"dem",188
"Colorado","Huerfano",2000,"dem",1495
"Colorado","Jackson",2000,"dem",173
"Colorado","Jefferson",2000,"dem",100970
"Colorado","Kiowa",2000,"dem",211
"Colorado","Kit Carson",2000,"dem",809
"Colorado","La Plata",2000,"dem",7864
"Colorado","Lake",2000,"dem",1296
"Colorado","Larimer",2000,"dem",46055
"Colorado","Las Animas",2000,"dem",3243
"Colorado","Lincoln",2000,"dem",510
"Colorado","Logan",2000,"dem",2296
"Colorado","Mesa",2000,"dem",15465
"Colorado","Mineral",2000,"dem",168
"Colorado","Moffat",2000,"dem",1223
"Colorado","Montezuma",2000,"dem",2556
"Colorado","Montrose",2000,"dem",4041
"Colorado","Morgan",2000,"dem",2885
"Colorado","Otero",2000,"dem",2963
"Colorado","Ouray",2000,"dem",705
"Colorado","Park",2000,"dem",2393
"Colorado","Phillips",2000,"dem",564
"Colorado","Pitkin",2000,"dem",4137
"Colorado","Prowers",2000,"dem",1361
"Colorado","Pueblo",2000,"dem",28888
"Colorado","Rio Blanco",2000,"dem",543
"Colorado","Rio Grande",2000,"dem",1707
"Colorado","Routt",2000,"dem",4208
"Colorado","Saguache",2000,"dem",1145
"Colorado","San Juan",2000,"dem",149
"Colorado","San Miguel",2000,"dem",1598
"Colorado","Sedgwick",2000,"dem",384
"Colorado","Summit",2000,"dem",5304
"Colorado","Teller",2000,"dem",2750
"Colorado","Washington",2000,"dem",477
"Colorado","Weld",2000,"dem",23436
"Colorado","Yuma",2000,"dem",1082
"Connecticut","Fairfield",2000,"dem",193769
"Connecticut","Hartford",2000,"dem",221167
"Connecticut","Litchfield",2000,"dem",41806
"Connecticut","Middlesex",2000,"dem",43319
"Connecticut","New Haven",2000,"dem",197928
"Connecticut","New London",2000,"dem",60449
"Connecticut","Tolland",2000,"dem",33554
"Connecticut","Windham",2000,"dem",24023
"Delaware","Kent",2000,"dem",22790
"Delaware","New Castle",2000,"dem",127539
"Delaware","Sussex",2000,"dem",29739
"District of Columbia","District of Columbia",2000,"dem",171923
"Florida","Alachua",2000,"dem",47380
"Florida","Baker",2000,"dem",2392
"Florida","Bay",2000,"dem",18873
"Florida","Bradford",2000,"dem",3075
"Florida","Brevard",2000,"dem",97341
"Florida","Broward",2000,"dem",387760
"Florida","Calhoun",2000,"dem",2156
"Florida","Charlotte",2000,"dem",29646
"Florida","Citrus",2000,"dem",25531
"Florida","Clay",2000,"dem",14668
"Florida","Collier",2000,"dem",29939
"Florida","Columbia",2000,"dem",7049
"Florida","Dade",2000,"dem",328867
"Florida","Desoto",2000,"dem",3321
"Florida","Dixie",2000,"dem",1827
"Florida","Duval",2000,"dem",108039
"Florida","Escambia",2000,"dem",40990
"Florida","Flagler",2000,"dem",13897
"Florida","Franklin",2000,"dem",2047
"Florida","Gadsden",2000,"dem",9736
"Florida","Gilchrist",2000,"dem",1910
"Florida","Glades",2000,"dem",1442
"Florida","Gulf",2000,"dem",2398
"Florida","Hamilton",2000,"dem",1723
"Florida","Hardee",2000,"dem",2342
"Florida","Hendry",2000,"dem",3240
"Florida","Hernando",2000,"dem",32648
"Florida","Highlands",2000,"dem",14169
"Florida","Hillsborough",2000,"dem",169576
"Florida","Holmes",2000,"dem",2177
"Florida","Indian River",2000,"dem",19769
"Florida","Jackson",2000,"dem",6870
"Florida","Jefferson",2000,"dem",3041
"Florida","Lafayette",2000,"dem",789
"Florida","Lake",2000,"dem",36571
"Florida","Lee",2000,"dem",73571
"Florida","Leon",2000,"dem",61444
"Florida","Levy",2000,"dem",5398
"Florida","Liberty",2000,"dem",1017
"Florida","Madison",2000,"dem",3015
"Florida","Manatee",2000,"dem",49226
"Florida","Marion",2000,"dem",44674
"Florida","Martin",2000,"dem",26621
"Florida","Monroe",2000,"dem",16487
"Florida","Nassau",2000,"dem",6955
"Florida","Okaloosa",2000,"dem",16989
"Florida","Okeechobee",2000,"dem",4589
"Florida","Orange",2000,"dem",140236
"Florida","Osceola",2000,"dem",28187
"Florida","Palm Beach",2000,"dem",269754
"Florida","Pasco",2000,"dem",69576
"Florida","Pinellas",2000,"dem",200657
"Florida","Polk",2000,"dem",75207
"Florida","Putnam",2000,"dem",12107
"Florida","Santa Rosa",2000,"dem",12818
"Florida","Sarasota",2000,"dem",72869
"Florida","Seminole",2000,"dem",59227
"Florida","St0 Johns",2000,"dem",19509
"Florida","St0 Lucie",2000,"dem",41560
"Florida","Sumter",2000,"dem",9637
"Florida","Suwannee",2000,"dem",4076
"Florida","Taylor",2000,"dem",2649
"Florida","Union",2000,"dem",1407
"Florida","Volusia",2000,"dem",97313
"Florida","Wakulla",2000,"dem",3838
"Florida","Walton",2000,"dem",5643
"Florida","Washington",2000,"dem",2798
"Georgia","Appling",2000,"dem",2093
"Georgia","Atkinson",2000,"dem",821
"Georgia","Bacon",2000,"dem",956
"Georgia","Baker",2000,"dem",893
"Georgia","Baldwin",2000,"dem",5893
"Georgia","Banks",2000,"dem",1220
"Georgia","Barrow",2000,"dem",3657
"Georgia","Bartow",2000,"dem",7508
"Georgia","Ben Hill",2000,"dem",2234
"Georgia","Berrien",2000,"dem",1640
"Georgia","Bibb",2000,"dem",24996
"Georgia","Bleckley",2000,"dem",1273
"Georgia","Brantley",2000,"dem",1372
"Georgia","Brooks",2000,"dem",2096
"Georgia","Bryan",2000,"dem",2172
"Georgia","Bulloch",2000,"dem",5561
"Georgia","Burke",2000,"dem",3720
"Georgia","Butts",2000,"dem",2281
"Georgia","Calhoun",2000,"dem",1107
"Georgia","Camden",2000,"dem",3636
"Georgia","Candler",2000,"dem",1053
"Georgia","Carroll",2000,"dem",8752
"Georgia","Catoosa",2000,"dem",5470
"Georgia","Charlton",2000,"dem",1015
"Georgia","Chatham",2000,"dem",37590
"Georgia","Chattahoochee",2000,"dem",600
"Georgia","Chattooga",2000,"dem",2729
"Georgia","Cherokee",2000,"dem",12295
"Georgia","Clarke",2000,"dem",15167
"Georgia","Clay",2000,"dem",821
"Georgia","Clayton",2000,"dem",40042
"Georgia","Clinch",2000,"dem",816
"Georgia","Cobb",2000,"dem",86676
"Georgia","Coffee",2000,"dem",3593
"Georgia","Colquitt",2000,"dem",3297
"Georgia","Columbia",2000,"dem",8969
"Georgia","Cook",2000,"dem",1639
"Georgia","Coweta",2000,"dem",9056
"Georgia","Crawford",2000,"dem",1513
"Georgia","Crisp",2000,"dem",2268
"Georgia","Dade",2000,"dem",1628
"Georgia","Dawson",2000,"dem",1458
"Georgia","Decatur",2000,"dem",3398
"Georgia","DeKalb",2000,"dem",154509
"Georgia","Dodge",2000,"dem",2326
"Georgia","Dooly",2000,"dem",1901
"Georgia","Dougherty",2000,"dem",16650
"Georgia","Douglas",2000,"dem",11162
"Georgia","Early",2000,"dem",1622
"Georgia","Echols",2000,"dem",272
"Georgia","Effingham",2000,"dem",3232
"Georgia","Elbert",2000,"dem",2527
"Georgia","Emanuel",2000,"dem",2835
"Georgia","Evans",2000,"dem",1217
"Georgia","Fannin",2000,"dem",2736
"Georgia","Fayette",2000,"dem",11912
"Georgia","Floyd",2000,"dem",10282
"Georgia","Forsyth",2000,"dem",6694
"Georgia","Franklin",2000,"dem",2040
"Georgia","Fulton",2000,"dem",152039
"Georgia","Gilmer",2000,"dem",2230
"Georgia","Glascock",2000,"dem",249
"Georgia","Glynn",2000,"dem",7778
"Georgia","Gordon",2000,"dem",4032
"Georgia","Grady",2000,"dem",2721
"Georgia","Greene",2000,"dem",2137
"Georgia","Gwinnett",2000,"dem",61434
"Georgia","Habersham",2000,"dem",2530
"Georgia","Hall",2000,"dem",10259
"Georgia","Hancock",2000,"dem",2414
"Georgia","Haralson",2000,"dem",2869
"Georgia","Harris",2000,"dem",2912
"Georgia","Hart",2000,"dem",3192
"Georgia","Heard",2000,"dem",1178
