"state","county","party","votes"
"AK","State House District 1, Ketchikan","dem",3662
"AK","State House District 10, Fairbanks-Fort Wai","dem",3670
"AK","State House District 11, North Pole","dem",3364
"AK","State House District 12, Richardson-Glenn H","dem",3387
"AK","State House District 13, Greater Palmer","dem",4819
"AK","State House District 14, Greater Wasilla","dem",4403
"AK","State House District 15, Rural Mat-Su","dem",4766
"AK","State House District 16, Chugiak-South Mat-","dem",4791
"AK","State House District 17, Eagle River","dem",4646
"AK","State House District 18, Military","dem",4193
"AK","State House District 19, Muldoon","dem",5061
"AK","State House District 2, Sitka-Wrangell-Pete","dem",4961
"AK","State House District 20, Mountain View-Wond","dem",4465
"AK","State House District 21, Baxter Bog","dem",5488
"AK","State House District 22, University-Airport","dem",5426
"AK","State House District 23, Downtown-Rogers Pa","dem",5991
"AK","State House District 24, Midtown-Taku","dem",5226
"AK","State House District 25, East Spenard","dem",5435
"AK","State House District 26, Turnagain-Inlet Vi","dem",6476
"AK","State House District 27, Sand Lake","dem",5212
"AK","State House District 28, Bayshore-Klatt","dem",5141
"AK","State House District 29, Campbell-Independe","dem",4546
"AK","State House District 3, Juneau-Downtown-Dou","dem",6513
"AK","State House District 30, Lore-Abbott","dem",5181
"AK","State House District 31, Huffman-Ocean View","dem",5315
"AK","State House District 32, Chugach State Park","dem",6580
"AK","State House District 33, Kenai-Soldotna","dem",3192
"AK","State House District 34, Rural Kenai","dem",3033
"AK","State House District 35, Homer-Seward","dem",5030
"AK","State House District 36, Kodiak","dem",3245
"AK","State House District 37, Bristol Bay-Aleuti","dem",5208
"AK","State House District 38, Bethel","dem",2366
"AK","State House District 39, Bering Straits","dem",2365
"AK","State House District 4, Juneau-Mendenhall V","dem",4768
"AK","State House District 40, Arctic","dem",2328
"AK","State House District 5, Cordova-Southeast I","dem",4679
"AK","State House District 6, Interior Villages","dem",3728
"AK","State House District 7, Farmers Loop-Steese","dem",5008
"AK","State House District 8, Denali-University","dem",5758
"AK","State House District 9, City of Fairbanks","dem",4177
"AL","Autauga County","dem",4758
"AL","Baldwin County","dem",15599
"AL","Barbour County","dem",4832
"AL","Bibb County","dem",2089
"AL","Blount County","dem",3938
"AL","Bullock County","dem",3210
"AL","Butler County","dem",3413
"AL","Calhoun County","dem",15083
"AL","Chambers County","dem",5347
"AL","Cherokee County","dem",3040
"AL","Chilton County","dem",3778
"AL","Choctaw County","dem",3303
"AL","Clarke County","dem",4627
"AL","Clay County","dem",1893
"AL","Cleburne County","dem",1391
"AL","Coffee County","dem",4480
"AL","Colbert County","dem",10598
"AL","Conecuh County","dem",2719
"AL","Coosa County","dem",2055
"AL","Covington County","dem",3423
"AL","Crenshaw County","dem",1698
"AL","Cullman County","dem",8045
"AL","Dale County","dem",4484
"AL","Dallas County","dem",11175
"AL","DeKalb County","dem",7092
"AL","Elmore County","dem",6471
"AL","Escambia County","dem",3814
"AL","Etowah County","dem",15328
"AL","Fayette County","dem",2408
"AL","Franklin County","dem",4514
"AL","Geneva County","dem",2113
"AL","Greene County","dem",3764
"AL","Hale County","dem",4631
"AL","Henry County","dem",2452
"AL","Houston County","dem",9144
"AL","Jackson County","dem",8635
"AL","Jefferson County","dem",132286
"AL","Lamar County","dem",1956
"AL","Lauderdale County","dem",14628
"AL","Lawrence County","dem",6155
"AL","Lee County","dem",16227
"AL","Limestone County","dem",9126
"AL","Lowndes County","dem",4233
"AL","Macon County","dem",7800
"AL","Madison County","dem",52644
"AL","Marengo County","dem",5037
"AL","Marion County","dem",3808
"AL","Marshall County","dem",8452
"AL","Mobile County","dem",63732
"AL","Monroe County","dem",3666
"AL","Montgomery County","dem",45160
"AL","Morgan County","dem",14131
"AL","Perry County","dem",3767
"AL","Pickens County","dem",3915
"AL","Pike County","dem",4334
"AL","Randolph County","dem",2817
"AL","Russell County","dem",8375
"AL","Saint Clair County","dem",5456
"AL","Shelby County","dem",14850
"AL","Sumter County","dem",4527
"AL","Talladega County","dem",11374
"AL","Tallapoosa County","dem",5451
"AL","Tuscaloosa County","dem",26447
"AL","Walker County","dem",9016
"AL","Washington County","dem",3145
"AL","Wilcox County","dem",3838
"AL","Winston County","dem",2236
"AR","Arkansas County","dem",3110
"AR","Ashley County","dem",3881
"AR","Baxter County","dem",7129
"AR","Benton County","dem",20756
"AR","Boone County","dem",4640
"AR","Bradley County","dem",2206
"AR","Calhoun County","dem",939
"AR","Carroll County","dem",4161
"AR","Chicot County","dem",2993
"AR","Clark County","dem",4990
"AR","Clay County","dem",3264
"AR","Cleburne County","dem",4517
"AR","Cleveland County","dem",1450
"AR","Columbia County","dem",4108
"AR","Conway County","dem",3982
"AR","Craighead County","dem",13665
"AR","Crawford County","dem",6764
"AR","Crittenden County","dem",8277
"AR","Cross County","dem",3135
"AR","Dallas County","dem",1671
"AR","Desha County","dem",2851
"AR","Drew County","dem",2952
"AR","Faulkner County","dem",14538
"AR","Franklin County","dem",3008
