"state","county","year","party","votes"
"AL","Autauga",2000,"dem",4942
"AL","Baldwin",2000,"dem",13997
"AL","Barbour",2000,"dem",5188
"AL","Bibb",2000,"dem",2710
"AL","Blount",2000,"dem",4977
"AL","Bullock",2000,"dem",3395
"AL","Butler",2000,"dem",3606
"AL","Calhoun",2000,"dem",15781
"AL","Chambers",2000,"dem",5616
"AL","Cherokee",2000,"dem",3497
"AL","Chilton",2000,"dem",4806
"AL","Choctaw",2000,"dem",3707
"AL","Clarke",2000,"dem",4679
"AL","Clay",2000,"dem",2045
"AL","Cleburne",2000,"dem",1664
"AL","Coffee",2000,"dem",5220
"AL","Colbert",2000,"dem",10543
"AL","Conecuh",2000,"dem",2783
"AL","Coosa",2000,"dem",2104
"AL","Covington",2000,"dem",4440
"AL","Crenshaw",2000,"dem",1934
"AL","Cullman",2000,"dem",9758
"AL","Dale",2000,"dem",4906
"AL","Dallas",2000,"dem",10967
"AL","DeKalb",2000,"dem",7056
"AL","Elmore",2000,"dem",6652
"AL","Escambia",2000,"dem",4523
"AL","Etowah",2000,"dem",17433
"AL","Fayette",2000,"dem",3064
"AL","Franklin",2000,"dem",4793
"AL","Geneva",2000,"dem",2769
"AL","Greene",2000,"dem",3504
"AL","Hale",2000,"dem",4652
"AL","Henry",2000,"dem",2782
"AL","Houston",2000,"dem",9412
"AL","Jackson",2000,"dem",9066
"AL","Jefferson",2000,"dem",129889
"AL","Lamar",2000,"dem",2653
"AL","Lauderdale",2000,"dem",13875
"AL","Lawrence",2000,"dem",6296
"AL","Lee",2000,"dem",14574
"AL","Limestone",2000,"dem",8992
"AL","Lowndes",2000,"dem",4557
"AL","Macon",2000,"dem",7665
"AL","Madison",2000,"dem",48199
"AL","Marengo",2000,"dem",4841
"AL","Marion",2000,"dem",4600
"AL","Marshall",2000,"dem",10381
"AL","Mobile",2000,"dem",58640
"AL","Monroe",2000,"dem",3741
"AL","Montgomery",2000,"dem",40371
"AL","Morgan",2000,"dem",16060
"AL","Perry",2000,"dem",4020
"AL","Pickens",2000,"dem",4143
"AL","Pike",2000,"dem",4357
"AL","Randolph",2000,"dem",3094
"AL","Russell",2000,"dem",8396
"AL","Shelby",2000,"dem",13183
"AL","St0 Clair",2000,"dem",6485
"AL","Sumter",2000,"dem",4415
"AL","Talladega",2000,"dem",11264
"AL","Tallapoosa",2000,"dem",6183
"AL","Tuscaloosa",2000,"dem",24614
"AL","Walker",2000,"dem",11621
"AL","Washington",2000,"dem",3386
"AL","Wilcox",2000,"dem",3444
"AL","Winston",2000,"dem",2692
"AK","District 1",2000,"dem",1284
"AK","District 10",2000,"dem",2194
"AK","District 11",2000,"dem",2043
"AK","District 12",2000,"dem",2051
"AK","District 13",2000,"dem",2661
"AK","District 14",2000,"dem",1626
"AK","District 15",2000,"dem",2106
"AK","District 16",2000,"dem",1969
"AK","District 17",2000,"dem",2230
"AK","District 18",2000,"dem",2739
"AK","District 19",2000,"dem",2350
"AK","District 2",2000,"dem",2081
"AK","District 20",2000,"dem",2259
"AK","District 21",2000,"dem",2309
"AK","District 22",2000,"dem",2656
"AK","District 23",2000,"dem",1282
"AK","District 24",2000,"dem",1985
"AK","District 25",2000,"dem",1697
"AK","District 26",2000,"dem",1608
"AK","District 27",2000,"dem",2199
"AK","District 28",2000,"dem",2116
"AK","District 29",2000,"dem",2806
"AK","District 3",2000,"dem",3693
"AK","District 30",2000,"dem",1698
"AK","District 31",2000,"dem",1831
"AK","District 32",2000,"dem",1389
"AK","District 33",2000,"dem",1765
"AK","District 34",2000,"dem",1300
"AK","District 35",2000,"dem",1208
"AK","District 36",2000,"dem",1945
"AK","District 37",2000,"dem",1821
"AK","District 38",2000,"dem",2015
"AK","District 39",2000,"dem",2282
"AK","District 4",2000,"dem",2715
"AK","District 40",2000,"dem",1024
"AK","District 5",2000,"dem",1931
"AK","District 6",2000,"dem",1542
"AK","District 7",2000,"dem",1893
"AK","District 8",2000,"dem",1498
"AK","District 9",2000,"dem",1203
"AZ","Apache",2000,"dem",13025
"AZ","Cochise",2000,"dem",13360
"AZ","Coconino",2000,"dem",20280
"AZ","Gila",2000,"dem",7700
"AZ","Graham",2000,"dem",3355
"AZ","Greenlee",2000,"dem",1216
"AZ","La Paz",2000,"dem",1769
"AZ","Maricopa",2000,"dem",386683
"AZ","Mohave",2000,"dem",17470
"AZ","Navajo",2000,"dem",11794
"AZ","Pima",2000,"dem",147688
"AZ","Pinal",2000,"dem",19650
"AZ","Santa Cruz",2000,"dem",5233
"AZ","Yavapai",2000,"dem",24063
"AZ","Yuma",2000,"dem",12055
"AR","Arkansas",2000,"dem",2877
"AR","Ashley",2000,"dem",4253
"AR","Baxter",2000,"dem",6516
"AR","Benton",2000,"dem",17277
"AR","Boone",2000,"dem",4493
"AR","Bradley",2000,"dem",2122
"AR","Calhoun",2000,"dem",1017
"AR","Carroll",2000,"dem",3595
"AR","Chicot",2000,"dem",2820
"AR","Clark",2000,"dem",4661
"AR","Clay",2000,"dem",3527
"AR","Cleburne",2000,"dem",4120
"AR","Cleveland",2000,"dem",1414
"AR","Columbia",2000,"dem",4003
"AR","Conway",2000,"dem",3496
"AR","Craighead",2000,"dem",12376
"AR","Crawford",2000,"dem",6288
"AR","Crittenden",2000,"dem",7224
"AR","Cross",2000,"dem",3096
"AR","Dallas",2000,"dem",1710
"AR","Desha",2000,"dem",2776
"AR","Drew",2000,"dem",3060
"AR","Faulkner",2000,"dem",11950
"AR","Franklin",2000,"dem",2674
"AR","Fulton",2000,"dem",1976
"AR","Garland",2000,"dem",15840
"AR","Grant",2000,"dem",2535
"AR","Greene",2000,"dem",6319
"AR","Hempstead",2000,"dem",3937
"AR","Hot Spring",2000,"dem",5527
"AR","Howard",2000,"dem",2063
"AR","Independence",2000,"dem",5146
"AR","Izard",2000,"dem",2587
"AR","Jackson",2000,"dem",3651
"AR","Jefferson",2000,"dem",17716
"AR","Johnson",2000,"dem",3270
"AR","Lafayette",2000,"dem",1806
"AR","Lawrence",2000,"dem",3255
"AR","Lee",2000,"dem",2727
"AR","Lincoln",2000,"dem",1957
"AR","Little River",2000,"dem",2883
"AR","Logan",2000,"dem",3283
"AR","Lonoke",2000,"dem",6851
"AR","Madison",2000,"dem",2055
"AR","Marion",2000,"dem",2233
"AR","Miller",2000,"dem",6278
"AR","Mississippi",2000,"dem",7107
"AR","Monroe",2000,"dem",1910
"AR","Montgomery",2000,"dem",1438
"AR","Nevada",2000,"dem",1867
"AR","Newton",2000,"dem",1205
"AR","Ouachita",2000,"dem",5464
"AR","Perry",2000,"dem",1648
"AR","Phillips",2000,"dem",6018
"AR","Pike",2000,"dem",1604
"AR","Poinsett",2000,"dem",4102
"AR","Polk",2000,"dem",2315
"AR","Pope",2000,"dem",6669
"AR","Prairie",2000,"dem",1563
"AR","Pulaski",2000,"dem",68320
"AR","Randolph",2000,"dem",3019
"AR","Saline",2000,"dem",12700
"AR","Scott",2000,"dem",1444
"AR","Searcy",2000,"dem",1229
"AR","Sebastian",2000,"dem",15555
"AR","Sevier",2000,"dem",2095
"AR","Sharp",2000,"dem",3236
"AR","St0 Francis",2000,"dem",4986
"AR","Stone",2000,"dem",2043
"AR","Union",2000,"dem",6261
"AR","Van Buren",2000,"dem",3202
"AR","Washington",2000,"dem",21425
"AR","White",2000,"dem",8342
"AR","Woodruff",2000,"dem",1699
"AR","Yell",2000,"dem",3062
"CA","Alameda",2000,"dem",342889
"CA","Alpine",2000,"dem",265
"CA","Amador",2000,"dem",5906
"CA","Butte",2000,"dem",31338
"CA","Calaveras",2000,"dem",7093
"CA","Colusa",2000,"dem",1745
"CA","Contra Costa",2000,"dem",224338
"CA","Del Norte",2000,"dem",3117
"CA","El Dorado",2000,"dem",26220
"CA","Fresno",2000,"dem",95059
"CA","Glenn",2000,"dem",2498
"CA","Humboldt",2000,"dem",24851
"CA","Imperial",2000,"dem",15489
"CA","Inyo",2000,"dem",2652
"CA","Kern",2000,"dem",66003
"CA","Kings",2000,"dem",11041
"CA","Lake",2000,"dem",10717
"CA","Lassen",2000,"dem",2982
"CA","Los Angeles",2000,"dem",1710505
"CA","Madera",2000,"dem",11650
"CA","Marin",2000,"dem",79135
"CA","Mariposa",2000,"dem",2816
"CA","Mendocino",2000,"dem",16634
"CA","Merced",2000,"dem",22726
"CA","Modoc",2000,"dem",945
"CA","Mono",2000,"dem",1788
"CA","Monterey",2000,"dem",67618
"CA","Napa",2000,"dem",28097
"CA","Nevada",2000,"dem",17670
"CA","Orange",2000,"dem",391819
"CA","Placer",2000,"dem",42449
"CA","Plumas",2000,"dem",3458
"CA","Riverside",2000,"dem",202576
"CA","Sacramento",2000,"dem",212792
"CA","San Benito",2000,"dem",9131
"CA","San Bernardino",2000,"dem",214749
"CA","San Diego",2000,"dem",437666
"CA","San Francisco",2000,"dem",241578
"CA","San Joaquin",2000,"dem",79776
"CA","San Luis Obispo",2000,"dem",44526
"CA","San Mateo",2000,"dem",166757
"CA","Santa Barbara",2000,"dem",73411
"CA","Santa Clara",2000,"dem",332490
"CA","Santa Cruz",2000,"dem",66618
"CA","Shasta",2000,"dem",20127
"CA","Sierra",2000,"dem",540
"CA","Siskiyou",2000,"dem",6323
"CA","Solano",2000,"dem",75116
"CA","Sonoma",2000,"dem",117295
"CA","Stanislaus",2000,"dem",56448
"CA","Sutter",2000,"dem",8416
"CA","Tehama",2000,"dem",6507
"CA","Trinity",2000,"dem",1932
"CA","Tulare",2000,"dem",33006
"CA","Tuolumne",2000,"dem",9359
"CA","Ventura",2000,"dem",133258
"CA","Yolo",2000,"dem",33747
"CA","Yuba",2000,"dem",5546
"CO","Adams",2000,"dem",54132
"CO","Alamosa",2000,"dem",2455
"CO","Arapahoe",2000,"dem",82614
"CO","Archuleta",2000,"dem",1432
"CO","Baca",2000,"dem",531
"CO","Bent",2000,"dem",783
"CO","Boulder",2000,"dem",69983
"CO","Chaffee",2000,"dem",2768
"CO","Cheyenne",2000,"dem",209
"CO","Clear Creek",2000,"dem",2188
"CO","Conejos",2000,"dem",1749
"CO","Costilla",2000,"dem",1054
"CO","Crowley",2000,"dem",511
"CO","Custer",2000,"dem",507
"CO","Delta",2000,"dem",3264
"CO","Denver",2000,"dem",122693
"CO","Dolores",2000,"dem",293
"CO","Douglas",2000,"dem",27076
"CO","Eagle",2000,"dem",6772
"CO","El Paso",2000,"dem",61799
"CO","Elbert",2000,"dem",2326
"CO","Fremont",2000,"dem",5293
"CO","Garfield",2000,"dem",6087
"CO","Gilpin",2000,"dem",1099
"CO","Grand",2000,"dem",2308
"CO","Gunnison",2000,"dem",3059
"CO","Hinsdale",2000,"dem",188
"CO","Huerfano",2000,"dem",1495
"CO","Jackson",2000,"dem",173
"CO","Jefferson",2000,"dem",100970
"CO","Kiowa",2000,"dem",211
"CO","Kit Carson",2000,"dem",809
"CO","La Plata",2000,"dem",7864
"CO","Lake",2000,"dem",1296
"CO","Larimer",2000,"dem",46055
"CO","Las Animas",2000,"dem",3243
"CO","Lincoln",2000,"dem",510
"CO","Logan",2000,"dem",2296
"CO","Mesa",2000,"dem",15465
"CO","Mineral",2000,"dem",168
"CO","Moffat",2000,"dem",1223
"CO","Montezuma",2000,"dem",2556
"CO","Montrose",2000,"dem",4041
"CO","Morgan",2000,"dem",2885
"CO","Otero",2000,"dem",2963
"CO","Ouray",2000,"dem",705
"CO","Park",2000,"dem",2393
"CO","Phillips",2000,"dem",564
"CO","Pitkin",2000,"dem",4137
