"state","party","votes"
"AK","dem",183603
"AK","other",16071
"AK","rep",292267
"AL","dem",693933
"AL","other",13088
"AL","rep",1176394
"AR","dem",469953
"AR","other",12094
"AR","rep",572898
"AZ","dem",893524
"AZ","other",14767
"AZ","rep",1104462
"CA","dem",6745485
"CA","other",164061
"CA","rep",5509826
"CO","dem",1001705
"CO","other",27343
"CO","rep",1101256
"CT","dem",857488
"CT","other",27455
"CT","rep",693826
"DC","dem",202970
"DC","other",3360
"DC","rep",21256
"DE","dem",200152
"DE","other",3318
"DE","rep",171660
"FL","dem",3583524
"FL","other",61744
"FL","rep",3964522
"GA","dem",1366155
"GA","other",21469
"GA","rep",1914256
"HI","dem",231335
"HI","other",3101
"HI","rep",194116
"IA","dem",741888
"IA","other",13053
"IA","rep",751957
"ID","dem",181098
"ID","other",8043
"ID","rep",409235
"IL","dem",2891550
"IL","other",36826
"IL","rep",2345946
"IN","dem",969011
"IN","other",19553
"IN","rep",1479438
"KS","dem",434993
"KS","other",16307
"KS","rep",736456
"KY","dem",712733
"KY","other",13682
"KY","rep",1069439
"LA","dem",820299
"LA","other",20638
"LA","rep",1102169
"MA","dem",1803800
"MA","other",37479
"MA","rep",1071109
"MD","dem",1334493
"MD","other",27482
"MD","rep",1024703
"ME","dem",396842
"ME","other",13709
"ME","rep",330191
"MI","dem",2479183
"MI","other",46323
"MI","rep",2313746
"MN","dem",1445014
"MN","other",36678
"MN","rep",1346695
"MO","dem",1259171
"MO","other",16480
"MO","rep",1455713
"MS","dem",458094
"MS","other",9067
"MS","rep",684981
"MT","dem",173710
"MT","other",10661
"MT","rep",266063
"NC","dem",1525849
"NC","other",13992
"NC","rep",1961165
"ND","dem",111052
"ND","other",5171
"ND","rep",196651
"NE","dem",254328
"NE","other",11044
"NE","rep",512814
"NH","dem",340511
"NH","other",5990
"NH","rep",331237
"NJ","dem",1911430
"NJ","other",30062
"NJ","rep",1670003
"NM","dem",373942
"NM","other",8429
"NM","rep",376930
"NV","dem",397190
"NV","other",13707
"NV","rep",418690
"NY","dem",4314280
"NY","other",114402
"NY","rep",2962567
"OH","dem",2741167
"OH","other",26873
"OH","rep",2859828
"OK","dem",503966
"OK","other",0
"OK","rep",959792
"OR","dem",943163
"OR","other",26788
"OR","rep",866831
"PA","dem",2938095
"PA","other",33822
"PA","rep",2793847
"RI","dem",259760
"RI","other",7483
"RI","rep",169046
"SC","dem",661699
"SC","other",18057
"SC","rep",937974
"SD","dem",149244
"SD","other",6387
"SD","rep",232584
"TN","dem",1036477
"TN","other",16467
"TN","rep",1384375
"TX","dem",2832686
"TX","other",51121
"TX","rep",4526272
"UT","dem",241199
"UT","other",22903
"UT","rep",663742
"VA","dem",1454742
"VA","other",27151
"VA","rep",1716959
"VT","dem",184067
"VT","other",7062
"VT","rep",121180
"WA","dem",1510201
"WA","other",43989
"WA","rep",1304894
"WI","dem",1489504
"WI","other",29380
"WI","rep",1478120
"WV","dem",326541
"WV","other",5473
"WV","rep",423778
"WY","dem",70776
"WY","other",5023
"WY","rep",167629
