STATE,COUNTY,BUSH,GORE,NADER,BUCHANAN,BROWNE,PHILLIPS,WRITEINS,HAGELIN,MCREYNOLDS,HARRIS,DODGE,NOTA,MOOREHEAD,BROWN,VENSON,YOUNGKEIT,LANE,OTHER
"Alabama","Autauga",11993,4942,160,43,51,9,5,5,0,0,0,0,0,0,0,0,0,273
"Alabama","Baldwin",40872,13997,1033,287,226,23,28,14,0,0,0,0,0,0,0,0,0,1611
"Alabama","Barbour",5096,5188,46,27,27,6,3,2,0,0,0,0,0,0,0,0,0,111
"Alabama","Bibb",4273,2710,52,36,20,9,0,1,0,0,0,0,0,0,0,0,0,118
"Alabama","Blount",12667,4977,154,104,51,10,5,5,0,0,0,0,0,0,0,0,0,329
"Alabama","Bullock",1433,3395,24,8,34,5,1,4,0,0,0,0,0,0,0,0,0,76
"Alabama","Butler",4127,3606,36,9,19,3,3,0,0,0,0,0,0,0,0,0,0,70
"Alabama","Calhoun",22306,15781,481,153,149,18,8,13,0,0,0,0,0,0,0,0,0,822
"Alabama","Chambers",6037,5616,95,35,38,5,3,5,0,0,0,0,0,0,0,0,0,181
"Alabama","Cherokee",4154,3497,77,58,27,3,2,5,0,0,0,0,0,0,0,0,0,172
"Alabama","Chilton",10066,4806,92,70,53,1,3,1,0,0,0,0,0,0,0,0,0,220
"Alabama","Choctaw",3600,3707,33,17,8,3,4,2,0,0,0,0,0,0,0,0,0,67
"Alabama","Clarke",5988,4679,33,28,16,4,2,2,0,0,0,0,0,0,0,0,0,85
"Alabama","Clay",3719,2045,52,30,32,4,0,1,0,0,0,0,0,0,0,0,0,119
"Alabama","Cleburne",3333,1664,39,32,21,0,3,0,0,0,0,0,0,0,0,0,0,95
"Alabama","Coffee",9938,5220,155,61,40,17,2,1,0,0,0,0,0,0,0,0,0,276
"Alabama","Colbert",10518,10543,208,201,38,9,11,4,0,0,0,0,0,0,0,0,0,471
"Alabama","Conecuh",2699,2783,35,21,6,2,2,3,0,0,0,0,0,0,0,0,0,69
"Alabama","Coosa",2382,2104,34,13,23,6,1,4,0,0,0,0,0,0,0,0,0,81
"Alabama","Covington",8961,4440,123,42,32,9,3,3,0,0,0,0,0,0,0,0,0,212
"Alabama","Crenshaw",2793,1934,40,16,9,2,1,0,0,0,0,0,0,0,0,0,0,68
"Alabama","Cullman",19157,9758,282,216,59,31,17,5,0,0,0,0,0,0,0,0,0,610
"Alabama","Dale",10593,4906,188,56,27,26,6,4,0,0,0,0,0,0,0,0,0,307
"Alabama","Dallas",7360,10967,63,19,38,10,3,4,0,0,0,0,0,0,0,0,0,137
